source,neighborhood,city,state,transaction,property_type,date,listing_price,suffix,price_ttc,price,size,rooms,bedrooms,bathrooms,parkings,finishing,condition,construction_year,age,air_conditioning,central_heating,swimming_pool,elevator,garden,equipped_kitchen,amenities
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,villa,2/12/2025,1700000,TTC,1700000,1700000,400,7,5,4,1,haut standing,bonne condition,2012,13,1,1,0,0,1,1,Parking+Terrasse+Chauffage Central+Prise lave-vaisselle+Master Bedroom+Titre Bleu+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,villa,8/24/2024,1580000,TTC,1580000,1659000,600,7,5,3,3,moyen standing,excellente condition,,,1,1,1,0,1,1,Terrasse+Chambre de Service+Parking+Chauffage Central+Double Kitchen+Prise lave-vaisselle+Piscine+Master Bedroom+Double vitrage+Titre Bleu+Climatisation+Cuisine Equipée+Fibre optique+Jardin
tecnocasa,Ain Zaghouan,Ain Zaghouan,Tunis,sale,villa,4/11/2025,1500000,TTC,1500000,1500000,368,0,0,0,0,moyen standing,bonne condition,2008,17,,,,,,,
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,11/17/2023,1200000,TTC,1200000,1323000,256,6,4,3,1,haut standing,neuf,2023,2,1,1,1,1,1,1,Piscine+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Chambre de Service+Terrasse+Camera+Master Bedroom+Double vitrage+Gardien+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/16/2023,1200000,TTC,1200000,1323000,256,6,4,3,1,haut standing,neuf,2023,2,1,1,1,1,1,1,"Terrasse+Chambre de Service+Double vitrage+Camera+Master Bedroom+Ascenseur+Piscine+Prise lave-vaisselle+Chauffage Central+Parking+Gardien+Jardin+Cuisine Equipée+Climatisation"
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,local commercial,4/10/2025,1190000,TTC,1190000,1190000,234,1,0,0,1,haut standing,neuf,,,1,1,0,0,0,0,Parking+Chauffage Central+Double vitrage+Gardien+Titre Bleu+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,4/30/2024,1100000,TTC,1100000,1155000,235,5,4,3,1,très haut standing,neuf,2024,1,1,1,1,1,1,1,Chauffage Central+Terrasse+Ascenseur+Parking+Climatisation+Prise lave-vaisselle+Piscine+Camera+Master Bedroom+Double vitrage+Gardien+Alarme+Jardin+Fibre optique+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,11/14/2024,1086000,TTC,1086000,1140300,265,4,3,2,0,haut standing,neuf,,,1,1,0,0,1,1,Climatisation+Fibre optique+Cuisine Equipée+Jardin+Alarme+Gardien+Double vitrage+Camera+Prise lave-vaisselle+Chauffage Central+Terrasse
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,8/9/2023,1086000,TTC,1086000,1197315,265,4,3,2,0,haut standing,neuf,,,1,1,0,0,1,1,Fibre optique+Terrasse+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Alarme+Jardin+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,3/21/2025,1020000,TTC,1020000,1020000,265,4,3,2,0,haut standing,neuf,,,1,1,0,0,1,1,Terrasse+Climatisation+Chauffage Central+Prise lave-vaisselle+Camera+Double vitrage+Gardien+Alarme+Jardin+Fibre optique+Cuisine Equipée
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,4/24/2024,1000000,TTC,1000000,1050000,236,5,4,2,2,très haut standing,neuf,2024,1,1,1,1,1,0,1,Master Bedroom+Ascenseur+Parking+Chauffage Central+Prise lave-vaisselle+Piscine+Camera+Double vitrage+Gardien+Climatisation+Cuisine Equipée+Alarme
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,duplex,8/22/2024,982000,TTC,982000,1031100,265,5,3,2,0,très haut standing,neuf,2023,2,1,1,0,1,1,1,Double vitrage+Master Bedroom+Camera+Prise lave-vaisselle+Chauffage Central+Parking+Ascenseur+Chambre de Service+Terrasse+Gardien+Alarme+Jardin+Fibre optique+Cuisine Equipée+Climatisation
century 21,Ain Zaghouan Nord,Ain Zaghouan,Tunis,sale,appartement,7/25/2024,980000,TTC,980000,1029000,175,2,3,2,1,haut standing,neuf,,,1,1,0,1,0,1,Climatisation+Cuisine Equipée+Fibre optique+Gardien+Master Bedroom+Camera+Chauffage Central+Parking+Ascenseur+Terrasse
